Feature,Coefficient
bathrooms,-18.528618544148326
bedrooms,11.965197385057687
has_photo,9.852729743187183e-12
square_feet,0.8214206348380914
AC,-95.68366333794307
Basketball,-42.436177353702305
Cable or Satellite,-45.9047781733459
Dishwasher,19.82228726682212
Elevator,192.83474418824517
Fireplace,-27.98594308610876
Garbage Disposal,-55.66820318775618
Gym,85.69406844125297
Internet Access,64.96964837206708
Parking,62.56848740897373
Playground,-140.9009732423502
Pool,32.787432704574854
Refrigerator,-30.903084450649608
TV,33.28866034487798
Tennis,-55.72432073266886
View,69.54202365453256
Wood Floors,89.74457291395554
noamenities,82.89634751620014
Cats,-21.600160814303536
"Cats,Dogs",10.788498090642094
Dogs,44.32438941573636
petsunknown,-33.512726692073514
baños*area,-0.036835230213171144
cuartos*area,-0.10934743796212842
cuartos*baños,70.7969137052279
state_AL,-147.73320363193068
state_AR,-352.1446833384437
state_AZ,-20.6130927001185
state_CA,928.9248702847747
state_CO,228.8320183829167
state_CT,144.40556824635343
state_DC,972.803302732594
state_DE,57.513745478980525
state_FL,160.04815592203678
state_GA,-9.233104146352389
state_HI,954.282811257499
state_IA,-203.66606409620007
state_ID,81.13650128480634
state_IL,203.13540924828976
state_IN,-119.4756288386662
state_KS,-218.2880525554608
state_KY,-256.2765727521554
state_LA,-227.55901557562413
state_MA,887.8887789408716
state_MD,380.9578342042095
state_MI,-117.47853270206058
state_MN,187.86791010050223
state_MO,-152.85381561181362
state_MS,-241.23576815762456
state_MT,-2.5927526978058335
state_NC,-107.13277357275109
state_ND,-300.6870243100454
state_NE,-186.90523789664198
state_NH,343.31904566991506
state_NJ,598.5527725162316
state_NM,-111.17300388483241
state_NV,12.293731006793216
state_NY,238.42712221262846
state_OH,-116.86207050667046
state_OK,-200.06085294309753
state_OR,293.35735323709406
state_PA,144.5302914727009
state_RI,243.7210551611924
state_SC,-192.79484506652187
state_SD,-272.9892358412096
state_TN,-48.809303689775525
state_TX,53.148494568192916
state_UT,0.02774567060717459
state_VA,245.11066402993632
state_VT,316.7672292517776
state_WA,519.376647205875
state_WI,62.180786154043716
state_WV,-233.81030727414367
